mep,epid,country,group,dossier,lobbyists,title,committees,location,role,date
Fabienne KELLER,22858,France,RE,,"Dialogue avec les think tanks français sur les grands enjeux de l’Europe - Organisé par l’Institut Jacques Delors, Confrontation Europe et la Fondation Robert Schuman.","Débat « Des élus et des idées » : Le défi climatique, la transition numérique, l’approfondissement de la zone euro et du marché unique, la défense du multilatéralisme",,Bruxelles,Member,30/01/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],RDV avec EASO,"Asile et Migration, Rapport Dublin III",['LIBE'],Bruxelles,Rapporteur,29/01/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],RDV avec DG HOME,"Asile et Migration, rapport Dublin III",['LIBE'],Bruxelles,Rapporteur,29/01/2020
Fabienne KELLER,22858,France,RE,,Groupe de travail avec la Fondation Jacques Delors,Conférence sur l’avenir de l’Europe,,Paris,Member,27/01/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],Rencontre avec le représentant Europe Centrale du UNHCR,"Situation en Croatie, Asile et Migration",['LIBE'],Bruxelles,Rapporteur,20/01/2020
Fabienne KELLER,22858,France,RE,['Dublin III'],OFPRA,Visite de l'Office français de protection des réfugiés et des apatrides,['LIBE'],Paris,Rapporteur,17/01/2020
Fabienne KELLER,22858,France,RE,,"Rencontre avec Pierre Creuzet, Président de l’association Centre-Ville en mouvement",Organisation des Assises européennes à Strasbourg,,Strasbourg,Member,15/01/2020
Fabienne KELLER,22858,France,RE,,Rencontre avec le PDG d’Alstrom,La stratégie d’innovation d’Alstom en terme de transformation écologique et révolution numérique de leur trains et outils de signalisation ferroviaire pour s’inscrire dans le,,Strasbourg,Member,14/01/2020
Fabienne KELLER,22858,France,RE,[''],"DG Elargissemnt, Commission Européenne",Asile et Migration,['LIBE'],Parlement Européen - Bruxelles,Member,04/12/2019
Fabienne KELLER,22858,France,RE,[''],Confédération des Petites et Moyennes Entreprises - CPME,Journée européenne des PME,['BUDG'],Bruxelles,Member,04/12/2019
Fabienne KELLER,22858,France,RE,[''],Agence Frontex,Migration et Frontières,['LIBE'],Parlement Européen - Bruxelles,Member,13/11/2019
Fabienne KELLER,22858,France,RE,[''],ONG Human Rights Watch,Asile et Migration et situation en Grèce,['LIBE'],Parlement Européen - Bruxelles,Member,12/11/2019
Fabienne KELLER,22858,France,RE,,L'Association National des Pôles d'équilibre territoriaux et ruraux et des Pays,La place des territoires et de la ruralité dans les politiques européennes 2021-2027,,Parlement Européen- Strasbourg,Member,23/10/2019
Fabienne KELLER,22858,France,RE,[''],"Marteen Grothuizen, Membre du Parlement Néerlandais",Sujets: Asile et Migration,['LIBE'],Parlement Européen - Bruxelles,Member,07/10/2019
Fabienne KELLER,22858,France,RE,,"Fondation Prospective & Innovation-FPI, Jean-Pierre Raffarin, Nicolas Chapuis, Ambassadeur de l'UE en Chine, China Centre for Urban Developement-CCUD, National Development and Reform Commission-NDRC","Forum d'échange entre collectivités européennes et chinoises ""Euro-China Greens & Smart Cities"", dans le cadre des programmes européens de coopération UE-Chine. Invitation en lien avec mon expérience de Maire de Strasbourg et de Députée européenne, aux côtés de l'Ambassadeur de l'UE en Chine et de Jean-Pierre Raffarin, Président de la Fondation Prospective & Innovation",,Nanning (Chine),Member,27/09/2019
Fabienne KELLER,22858,France,RE,['Réglement de Dublin'],Représentation permanente du Royaume-Uni auprès de l'UE,Immigration,['LIBE'],"Parlement européen, Bruxelles",Rapporteur,23/09/2019
Fabienne KELLER,22858,France,RE,[''],"Commisaire Européenne à la Justice, aux Consommateurs et à l'Egalité des genres",Sujets LIBE,['LIBE'],Parlement Européen - Strasbourg,Member,17/09/2019
Fabienne KELLER,22858,France,RE,[''],Representation Permanente de la France,Sujets LIBE,['LIBE'],Parlement Européen - Bruxelles,Member,10/09/2019
Fabienne KELLER,22858,France,RE,[''],Directeur d'EU Lisa,"Système d'information - espace de liberté, de sécurité et de justice",['LIBE'],Parlement Européen- Bruxelles,Member,03/09/2019
Pascal CANFIN,96711,France,RE,,Renault,EU Green Recovery/clean mobility,,Bruxelles,Member,20/05/2020
Pascal CANFIN,96711,France,RE,,MAIF,Green finance,,Bruxelles,Member,19/05/2020
Pascal CANFIN,96711,France,RE,,Michelin,Clean mobility/EU Green Recovery,,Bruxelles,Member,14/05/2020
Pascal CANFIN,96711,France,RE,,ENEL,Energy transition,,Bruxelles,Member,12/05/2020
Pascal CANFIN,96711,France,RE,,International Energy agency,Energy,,Bruxelles,Member,11/05/2020
Pascal CANFIN,96711,France,RE,,Air France,aviation,,Bruxelles,Member,07/05/2020
Pascal CANFIN,96711,France,RE,,Volvo,EU Green Recovery,,Bruxelles,Member,07/05/2020
Pascal CANFIN,96711,France,RE,,Keolis,EU Green Recovery/clean mobility,,Bruxelles,Member,07/05/2020
Pascal CANFIN,96711,France,RE,,Green10,Green Deal/Green Recovery,,Bruxelles,Member,14/04/2020
Pascal CANFIN,96711,France,RE,,ADEME,Energy transition,,Bruxelles,Member,08/04/2020
Pascal CANFIN,96711,France,RE,,Vattenfal,"Energy transition, Green Deal",,Bruxelles,Member,04/03/2020
Pascal CANFIN,96711,France,RE,,CEFIC,EU chemical strategy/Brexit,,Bruxelles,Member,02/03/2020
Pascal CANFIN,96711,France,RE,,Club de Rome,Private companies and sustainable development,,Bruxelles,Member,02/03/2020
Pascal CANFIN,96711,France,RE,,Transport&Environment,Shipping emission,,Bruxelles,Member,26/02/2020
Pascal CANFIN,96711,France,RE,,Amazon,engagement climatique des entreprises,,Bruxelles,Member,20/02/2020
Pascal CANFIN,96711,France,RE,,WWF Pologne,neutralité climatique en Pologne,,Bruxelles,Member,20/02/2020
Pascal CANFIN,96711,France,RE,,Société Général,"Sustainable finance, Green Deal",,Bruxelles,Member,20/02/2020
Pascal CANFIN,96711,France,RE,,Partenariat Français Automobile,"Mobilité durable, secteur de l'automobile et neutralité climatique",,Bruxelles,Member,19/02/2020
Pascal CANFIN,96711,France,RE,,ADEME,"Neutralité climatique, politique énergétique",,Bruxelles,Member,19/02/2020
