epid,mep,role,country,group,location,title,lobbyists,mep,dossier,committees,date
22858,Fabienne KELLER,Rapporteur,France,RE,"Parlement européen, Bruxelles",Immigration,Représentation permanente du Royaume-Uni auprès de l'UE,Fabienne KELLER,['Réglement de Dublin'],['LIBE'],23/09/2019
22858,Fabienne KELLER,Member,France,RE,Parlement Européen - Strasbourg,Sujets LIBE,"Commisaire Européenne à la Justice, aux Consommateurs et à l'Egalité des genres",Fabienne KELLER,[''],['LIBE'],17/09/2019
22858,Fabienne KELLER,Member,France,RE,Parlement Européen - Bruxelles,Sujets LIBE,Representation Permanente de la France,Fabienne KELLER,[''],['LIBE'],10/09/2019
22858,Fabienne KELLER,Member,France,RE,Parlement Européen- Bruxelles,"Système d'information - espace de liberté, de sécurité et de justice",Directeur d'EU Lisa,Fabienne KELLER,[''],['LIBE'],03/09/2019
96711,Pascal CANFIN,Member,France,RE,Bruxelles,engagement climatique des entreprises,Amazon,Pascal CANFIN,,,20/02/2020
96711,Pascal CANFIN,Member,France,RE,Bruxelles,neutralité climatique en Pologne,WWF Pologne,Pascal CANFIN,,,20/02/2020
96711,Pascal CANFIN,Member,France,RE,Bruxelles,"Sustainable finance, Green Deal",Société Général,Pascal CANFIN,,,20/02/2020
96711,Pascal CANFIN,Member,France,RE,Bruxelles,"Mobilité durable, secteur de l'automobile et neutralité climatique",Partenariat Français Automobile,Pascal CANFIN,,,19/02/2020
96711,Pascal CANFIN,Member,France,RE,Bruxelles,"Neutralité climatique, politique énergétique",ADEME,Pascal CANFIN,,,19/02/2020
96711,Pascal CANFIN,Member,France,RE,Bruxelles,"transport ferroviaire, mobilité durable",SNCF,Pascal CANFIN,,,19/02/2020
96711,Pascal CANFIN,Member,France,RE,Strasbourg,"efficacité énergétique, économie circulaire",Saint Gobain,Pascal CANFIN,,,12/02/2020
96711,Pascal CANFIN,Member,France,RE,Strasbourg,"Neutralité climatique et contribution du secteur de l'acier, ETS, mécanisme d'ajustement carbone aux frontières",EUROFER,Pascal CANFIN,,,12/02/2020
96711,Pascal CANFIN,Member,France,RE,Bruxelles,"neutralité climatique, économie circulaire",Suez,Pascal CANFIN,,,06/02/2020
96711,Pascal CANFIN,Member,France,RE,Paris,"Biodiversité, déforestation",Carrefour,Pascal CANFIN,,,31/01/2020
96711,Pascal CANFIN,Member,France,RE,Bruxelles,Energy transition in Europe,GRDF,Pascal CANFIN,,,30/01/2020
